vote_2020,race_ethnicity,education,age,age_grouped
Donald Trump,White,High School or Less,26,18-29
Joe Biden,White,Trade Certificate,60,60+
Joe Biden,Asian,High School or Less,20,18-29
Donald Trump,Asian,College Degree or In Progress,34,30-39
Joe Biden,White,College Degree or In Progress,39,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,32,30-39
Joe Biden,"Black, or African American",College Degree or In Progress,35,30-39
Joe Biden,White,High School or Less,20,18-29
Joe Biden,Asian,College Degree or In Progress,58,50-59
I am not sure/don't know,"Black, or African American",High School or Less,54,50-59
Joe Biden,White,Masters/Doctorate Degree or In Progress,67,60+
Donald Trump,White,High School or Less,59,50-59
I would not vote,White,Masters/Doctorate Degree or In Progress,31,30-39
Donald Trump,White,High School or Less,55,50-59
Joe Biden,White,Associate Degree or In Progress,41,40-49
Donald Trump,White,College Degree or In Progress,23,18-29
I am not sure/don't know,White,Associate Degree or In Progress,32,30-39
Donald Trump,White,High School or Less,22,18-29
Donald Trump,White,Trade Certificate,22,18-29
I am not sure/don't know,White,High School or Less,55,50-59
I am not sure/don't know,White,High School or Less,21,18-29
Joe Biden,White,College Degree or In Progress,32,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,66,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,42,40-49
I am not sure/don't know,White,College Degree or In Progress,28,18-29
I would not vote,"Black, or African American",Masters/Doctorate Degree or In Progress,18,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,39,30-39
Joe Biden,White,High School or Less,64,60+
Donald Trump,Asian,Masters/Doctorate Degree or In Progress,28,18-29
I am not sure/don't know,White,High School or Less,19,18-29
I am not sure/don't know,White,Associate Degree or In Progress,66,60+
I am not sure/don't know,White,Associate Degree or In Progress,47,40-49
Donald Trump,American Indian or Alaska Native,High School or Less,39,30-39
Joe Biden,White,College Degree or In Progress,68,60+
I would not vote,"Black, or African American",High School or Less,65,60+
Joe Biden,White,High School or Less,93,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,65,60+
Joe Biden,White,High School or Less,18,18-29
Joe Biden,"Black, or African American",High School or Less,60,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,42,40-49
I would not vote,Some other race,High School or Less,18,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,41,40-49
Joe Biden,White,Associate Degree or In Progress,62,60+
Donald Trump,White,College Degree or In Progress,54,50-59
Joe Biden,Asian,Associate Degree or In Progress,58,50-59
Donald Trump,White,Masters/Doctorate Degree or In Progress,34,30-39
I am not sure/don't know,Asian,College Degree or In Progress,27,18-29
I am not sure/don't know,White,College Degree or In Progress,27,18-29
Joe Biden,"Black, or African American",High School or Less,59,50-59
Joe Biden,White,High School or Less,60,60+
Donald Trump,White,College Degree or In Progress,79,60+
Donald Trump,White,College Degree or In Progress,55,50-59
Joe Biden,Asian,Masters/Doctorate Degree or In Progress,39,30-39
Donald Trump,White,High School or Less,35,30-39
Joe Biden,"Black, or African American",Masters/Doctorate Degree or In Progress,66,60+
Someone else,White,College Degree or In Progress,37,30-39
Donald Trump,Some other race,Masters/Doctorate Degree or In Progress,77,60+
Donald Trump,"Black, or African American",Associate Degree or In Progress,46,40-49
Donald Trump,White,College Degree or In Progress,73,60+
Donald Trump,White,Trade Certificate,74,60+
Donald Trump,White,College Degree or In Progress,36,30-39
Donald Trump,White,Trade Certificate,52,50-59
I would not vote,Some other race,College Degree or In Progress,50,50-59
Someone else,White,College Degree or In Progress,31,30-39
Joe Biden,White,High School or Less,29,18-29
I am not sure/don't know,Asian,College Degree or In Progress,25,18-29
Donald Trump,White,College Degree or In Progress,77,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,40,40-49
Donald Trump,Asian,College Degree or In Progress,36,30-39
Donald Trump,White,College Degree or In Progress,41,40-49
Joe Biden,White,Trade Certificate,68,60+
Donald Trump,White,Associate Degree or In Progress,55,50-59
Donald Trump,White,College Degree or In Progress,47,40-49
Joe Biden,"Black, or African American",High School or Less,42,40-49
Joe Biden,White,College Degree or In Progress,53,50-59
Donald Trump,Some other race,College Degree or In Progress,37,30-39
Donald Trump,White,Trade Certificate,69,60+
Joe Biden,"Black, or African American",Associate Degree or In Progress,63,60+
Joe Biden,White,College Degree or In Progress,60,60+
Joe Biden,White,College Degree or In Progress,67,60+
I am not sure/don't know,White,Masters/Doctorate Degree or In Progress,39,30-39
I would not vote,White,College Degree or In Progress,24,18-29
Donald Trump,White,College Degree or In Progress,36,30-39
Joe Biden,White,College Degree or In Progress,56,50-59
Donald Trump,White,Masters/Doctorate Degree or In Progress,45,40-49
Donald Trump,White,High School or Less,35,30-39
Joe Biden,"Black, or African American",High School or Less,19,18-29
Donald Trump,White,High School or Less,39,30-39
Donald Trump,White,College Degree or In Progress,36,30-39
Donald Trump,White,College Degree or In Progress,27,18-29
Joe Biden,"Black, or African American",College Degree or In Progress,53,50-59
Joe Biden,White,College Degree or In Progress,71,60+
I would not vote,White,College Degree or In Progress,31,30-39
Donald Trump,Some other race,College Degree or In Progress,46,40-49
Joe Biden,White,College Degree or In Progress,70,60+
I am not sure/don't know,White,Trade Certificate,71,60+
I would not vote,Some other race,High School or Less,18,18-29
I am not sure/don't know,"Black, or African American",High School or Less,19,18-29
Joe Biden,White,High School or Less,26,18-29
Joe Biden,White,High School or Less,56,50-59
Donald Trump,White,Associate Degree or In Progress,60,60+
I am not sure/don't know,White,College Degree or In Progress,45,40-49
Joe Biden,White,College Degree or In Progress,50,50-59
Joe Biden,White,High School or Less,57,50-59
Donald Trump,Asian,Masters/Doctorate Degree or In Progress,55,50-59
Donald Trump,Asian,College Degree or In Progress,49,40-49
Joe Biden,"Black, or African American",Masters/Doctorate Degree or In Progress,57,50-59
Donald Trump,White,Masters/Doctorate Degree or In Progress,75,60+
Donald Trump,White,Associate Degree or In Progress,53,50-59
Donald Trump,White,High School or Less,40,40-49
Joe Biden,White,Associate Degree or In Progress,64,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,26,18-29
Joe Biden,White,College Degree or In Progress,34,30-39
Joe Biden,White,College Degree or In Progress,57,50-59
Donald Trump,American Indian or Alaska Native,High School or Less,55,50-59
Donald Trump,White,College Degree or In Progress,33,30-39
Joe Biden,Asian,College Degree or In Progress,44,40-49
I am not sure/don't know,White,High School or Less,48,40-49
Someone else,Some other race,High School or Less,29,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,41,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,75,60+
Donald Trump,Some other race,Masters/Doctorate Degree or In Progress,52,50-59
Joe Biden,White,College Degree or In Progress,28,18-29
Donald Trump,White,College Degree or In Progress,34,30-39
Donald Trump,White,High School or Less,57,50-59
Donald Trump,White,High School or Less,75,60+
Joe Biden,White,Associate Degree or In Progress,47,40-49
I would not vote,White,High School or Less,28,18-29
Donald Trump,White,College Degree or In Progress,34,30-39
I would not vote,White,High School or Less,66,60+
Joe Biden,White,College Degree or In Progress,23,18-29
Joe Biden,White,High School or Less,20,18-29
Joe Biden,"Black, or African American",High School or Less,19,18-29
I am not sure/don't know,White,High School or Less,20,18-29
Joe Biden,"Black, or African American",College Degree or In Progress,79,60+
Someone else,"Black, or African American",High School or Less,18,18-29
Joe Biden,White,Associate Degree or In Progress,28,18-29
Joe Biden,White,Masters/Doctorate Degree or In Progress,68,60+
Donald Trump,White,Associate Degree or In Progress,66,60+
Joe Biden,White,High School or Less,18,18-29
Joe Biden,White,College Degree or In Progress,32,30-39
I am not sure/don't know,Asian,College Degree or In Progress,45,40-49
Joe Biden,Some other race,Trade Certificate,40,40-49
Joe Biden,Asian,College Degree or In Progress,56,50-59
Joe Biden,White,College Degree or In Progress,72,60+
Donald Trump,White,College Degree or In Progress,59,50-59
Someone else,White,College Degree or In Progress,65,60+
I am not sure/don't know,White,College Degree or In Progress,26,18-29
Joe Biden,White,Masters/Doctorate Degree or In Progress,65,60+
Joe Biden,"Black, or African American",College Degree or In Progress,33,30-39
Someone else,American Indian or Alaska Native,Masters/Doctorate Degree or In Progress,35,30-39
Donald Trump,White,Masters/Doctorate Degree or In Progress,57,50-59
Joe Biden,White,College Degree or In Progress,28,18-29
Someone else,White,Associate Degree or In Progress,25,18-29
Donald Trump,White,College Degree or In Progress,52,50-59
Joe Biden,White,Associate Degree or In Progress,65,60+
Donald Trump,White,College Degree or In Progress,53,50-59
Joe Biden,"Black, or African American",Associate Degree or In Progress,80,60+
Joe Biden,Asian,Masters/Doctorate Degree or In Progress,35,30-39
Joe Biden,White,High School or Less,44,40-49
I would not vote,White,High School or Less,38,30-39
Joe Biden,White,College Degree or In Progress,44,40-49
Joe Biden,Some other race,Trade Certificate,65,60+
Joe Biden,White,College Degree or In Progress,59,50-59
Donald Trump,White,College Degree or In Progress,59,50-59
Joe Biden,Some other race,High School or Less,34,30-39
Joe Biden,Some other race,College Degree or In Progress,23,18-29
Joe Biden,Asian,Masters/Doctorate Degree or In Progress,50,50-59
I would not vote,"Black, or African American",College Degree or In Progress,74,60+
I would not vote,White,College Degree or In Progress,63,60+
Donald Trump,White,High School or Less,53,50-59
Donald Trump,White,High School or Less,37,30-39
Donald Trump,Asian,College Degree or In Progress,41,40-49
Joe Biden,White,Associate Degree or In Progress,36,30-39
I am not sure/don't know,Some other race,Masters/Doctorate Degree or In Progress,46,40-49
Someone else,Some other race,College Degree or In Progress,36,30-39
I am not sure/don't know,"Black, or African American",College Degree or In Progress,23,18-29
Joe Biden,Asian,College Degree or In Progress,49,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,30,30-39
Joe Biden,White,Trade Certificate,68,60+
Joe Biden,White,College Degree or In Progress,25,18-29
Joe Biden,"Black, or African American",College Degree or In Progress,42,40-49
Donald Trump,White,High School or Less,21,18-29
Joe Biden,Asian,College Degree or In Progress,20,18-29
Donald Trump,"Black, or African American",Masters/Doctorate Degree or In Progress,27,18-29
Donald Trump,"Black, or African American",High School or Less,50,50-59
I am not sure/don't know,White,College Degree or In Progress,56,50-59
Donald Trump,White,College Degree or In Progress,59,50-59
Joe Biden,"Black, or African American",High School or Less,19,18-29
Donald Trump,White,College Degree or In Progress,62,60+
Joe Biden,"Black, or African American",High School or Less,65,60+
Joe Biden,White,High School or Less,35,30-39
Joe Biden,White,College Degree or In Progress,37,30-39
I would not vote,Some other race,High School or Less,28,18-29
Joe Biden,White,Associate Degree or In Progress,20,18-29
I am not sure/don't know,Some other race,High School or Less,37,30-39
Joe Biden,White,College Degree or In Progress,33,30-39
Joe Biden,White,College Degree or In Progress,30,30-39
Joe Biden,White,High School or Less,37,30-39
Donald Trump,White,College Degree or In Progress,35,30-39
Donald Trump,White,High School or Less,50,50-59
I am not sure/don't know,White,Trade Certificate,31,30-39
Donald Trump,White,College Degree or In Progress,66,60+
Donald Trump,White,Trade Certificate,35,30-39
I would not vote,"Black, or African American",College Degree or In Progress,22,18-29
Joe Biden,White,College Degree or In Progress,45,40-49
Joe Biden,White,High School or Less,43,40-49
Donald Trump,White,High School or Less,21,18-29
Donald Trump,White,Associate Degree or In Progress,40,40-49
Joe Biden,Some other race,College Degree or In Progress,32,30-39
Donald Trump,White,College Degree or In Progress,36,30-39
Joe Biden,White,College Degree or In Progress,39,30-39
Joe Biden,"Black, or African American",Associate Degree or In Progress,61,60+
I would not vote,White,High School or Less,26,18-29
Donald Trump,Some other race,High School or Less,39,30-39
I am not sure/don't know,White,College Degree or In Progress,21,18-29
Joe Biden,White,High School or Less,19,18-29
Joe Biden,Asian,College Degree or In Progress,44,40-49
Joe Biden,White,College Degree or In Progress,54,50-59
Someone else,Some other race,Trade Certificate,24,18-29
I would not vote,Some other race,High School or Less,21,18-29
Donald Trump,White,High School or Less,18,18-29
Donald Trump,Some other race,High School or Less,19,18-29
Joe Biden,White,Masters/Doctorate Degree or In Progress,64,60+
I am not sure/don't know,Some other race,High School or Less,20,18-29
I am not sure/don't know,"Black, or African American",High School or Less,41,40-49
Donald Trump,Asian,College Degree or In Progress,51,50-59
Joe Biden,White,College Degree or In Progress,71,60+
Joe Biden,White,High School or Less,25,18-29
Joe Biden,White,College Degree or In Progress,20,18-29
Joe Biden,White,College Degree or In Progress,25,18-29
Donald Trump,Some other race,High School or Less,22,18-29
Joe Biden,"Black, or African American",Masters/Doctorate Degree or In Progress,20,18-29
I am not sure/don't know,Some other race,College Degree or In Progress,30,30-39
Donald Trump,White,Associate Degree or In Progress,19,18-29
Joe Biden,White,Masters/Doctorate Degree or In Progress,52,50-59
Donald Trump,White,Associate Degree or In Progress,54,50-59
Joe Biden,White,College Degree or In Progress,38,30-39
Joe Biden,"Black, or African American",High School or Less,36,30-39
Joe Biden,White,High School or Less,32,30-39
Someone else,White,College Degree or In Progress,36,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,27,18-29
I would not vote,White,High School or Less,38,30-39
Donald Trump,White,College Degree or In Progress,64,60+
Joe Biden,White,College Degree or In Progress,22,18-29
Donald Trump,White,College Degree or In Progress,71,60+
Donald Trump,White,College Degree or In Progress,65,60+
Joe Biden,White,College Degree or In Progress,60,60+
Donald Trump,White,College Degree or In Progress,56,50-59
Donald Trump,White,College Degree or In Progress,49,40-49
Joe Biden,White,High School or Less,60,60+
Donald Trump,White,College Degree or In Progress,48,40-49
Donald Trump,White,College Degree or In Progress,67,60+
Joe Biden,White,College Degree or In Progress,51,50-59
Joe Biden,Some other race,Trade Certificate,28,18-29
I would not vote,Some other race,High School or Less,35,30-39
I am not sure/don't know,White,College Degree or In Progress,50,50-59
Joe Biden,White,High School or Less,44,40-49
Joe Biden,Asian,College Degree or In Progress,48,40-49
Joe Biden,White,College Degree or In Progress,66,60+
Joe Biden,White,College Degree or In Progress,40,40-49
Donald Trump,White,High School or Less,56,50-59
Donald Trump,Some other race,Trade Certificate,35,30-39
Donald Trump,White,High School or Less,40,40-49
Joe Biden,Asian,High School or Less,18,18-29
Joe Biden,White,College Degree or In Progress,68,60+
Joe Biden,"Black, or African American",College Degree or In Progress,73,60+
Donald Trump,White,College Degree or In Progress,49,40-49
Joe Biden,White,College Degree or In Progress,72,60+
Donald Trump,White,College Degree or In Progress,42,40-49
Joe Biden,"Black, or African American",College Degree or In Progress,49,40-49
Donald Trump,Some other race,College Degree or In Progress,33,30-39
Joe Biden,"Black, or African American",College Degree or In Progress,59,50-59
I would not vote,White,High School or Less,34,30-39
Donald Trump,White,College Degree or In Progress,39,30-39
Joe Biden,White,High School or Less,25,18-29
Someone else,Some other race,Associate Degree or In Progress,40,40-49
Donald Trump,White,High School or Less,57,50-59
Donald Trump,White,Trade Certificate,46,40-49
Donald Trump,White,High School or Less,30,30-39
I am not sure/don't know,White,Trade Certificate,45,40-49
Donald Trump,White,High School or Less,62,60+
I am not sure/don't know,Asian,College Degree or In Progress,28,18-29
Donald Trump,White,College Degree or In Progress,33,30-39
I would not vote,White,College Degree or In Progress,47,40-49
Joe Biden,"Black, or African American",College Degree or In Progress,53,50-59
Joe Biden,White,Trade Certificate,44,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,38,30-39
Joe Biden,White,High School or Less,32,30-39
I am not sure/don't know,"Black, or African American",Masters/Doctorate Degree or In Progress,19,18-29
Donald Trump,White,College Degree or In Progress,66,60+
Donald Trump,White,College Degree or In Progress,46,40-49
Donald Trump,White,College Degree or In Progress,35,30-39
Someone else,White,College Degree or In Progress,50,50-59
Joe Biden,"Black, or African American",High School or Less,35,30-39
Donald Trump,White,College Degree or In Progress,53,50-59
Donald Trump,White,High School or Less,52,50-59
I would not vote,White,Trade Certificate,31,30-39
Donald Trump,American Indian or Alaska Native,Associate Degree or In Progress,65,60+
Joe Biden,White,College Degree or In Progress,74,60+
I would not vote,Some other race,College Degree or In Progress,23,18-29
I would not vote,White,College Degree or In Progress,42,40-49
Joe Biden,White,Masters/Doctorate Degree or In Progress,45,40-49
Joe Biden,Some other race,High School or Less,24,18-29
Joe Biden,"Black, or African American",Trade Certificate,61,60+
I am not sure/don't know,White,High School or Less,66,60+
Donald Trump,White,College Degree or In Progress,49,40-49
Donald Trump,White,Associate Degree or In Progress,29,18-29
Donald Trump,White,High School or Less,30,30-39
I am not sure/don't know,White,Trade Certificate,33,30-39
Joe Biden,White,College Degree or In Progress,36,30-39
Joe Biden,White,College Degree or In Progress,20,18-29
Joe Biden,Asian,Masters/Doctorate Degree or In Progress,38,30-39
I am not sure/don't know,White,Associate Degree or In Progress,49,40-49
Donald Trump,"Black, or African American",High School or Less,20,18-29
I would not vote,White,High School or Less,26,18-29
Joe Biden,White,Masters/Doctorate Degree or In Progress,25,18-29
Joe Biden,White,College Degree or In Progress,39,30-39
I would not vote,Asian,Associate Degree or In Progress,47,40-49
I am not sure/don't know,White,College Degree or In Progress,63,60+
Donald Trump,White,College Degree or In Progress,29,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,55,50-59
Donald Trump,White,High School or Less,18,18-29
Joe Biden,"Black, or African American",High School or Less,52,50-59
Joe Biden,White,College Degree or In Progress,51,50-59
Donald Trump,White,High School or Less,49,40-49
I am not sure/don't know,White,College Degree or In Progress,23,18-29
I am not sure/don't know,White,College Degree or In Progress,60,60+
Donald Trump,White,High School or Less,57,50-59
Joe Biden,White,College Degree or In Progress,22,18-29
Joe Biden,"Black, or African American",High School or Less,19,18-29
Donald Trump,White,High School or Less,57,50-59
I am not sure/don't know,White,High School or Less,42,40-49
I am not sure/don't know,White,College Degree or In Progress,58,50-59
Joe Biden,White,College Degree or In Progress,62,60+
I am not sure/don't know,White,High School or Less,44,40-49
Joe Biden,White,Trade Certificate,31,30-39
Donald Trump,White,Associate Degree or In Progress,76,60+
I would not vote,White,High School or Less,64,60+
I am not sure/don't know,White,College Degree or In Progress,41,40-49
I would not vote,Some other race,High School or Less,29,18-29
I am not sure/don't know,White,College Degree or In Progress,64,60+
Joe Biden,White,College Degree or In Progress,27,18-29
Joe Biden,Some other race,Associate Degree or In Progress,19,18-29
Donald Trump,White,High School or Less,41,40-49
Joe Biden,White,High School or Less,27,18-29
Joe Biden,White,College Degree or In Progress,39,30-39
I would not vote,"Black, or African American",High School or Less,19,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,66,60+
Donald Trump,Some other race,College Degree or In Progress,40,40-49
Joe Biden,"Black, or African American",College Degree or In Progress,43,40-49
Donald Trump,White,High School or Less,34,30-39
Donald Trump,White,College Degree or In Progress,75,60+
I would not vote,White,High School or Less,26,18-29
I am not sure/don't know,American Indian or Alaska Native,High School or Less,48,40-49
Joe Biden,Some other race,High School or Less,28,18-29
Donald Trump,White,Trade Certificate,65,60+
Donald Trump,White,College Degree or In Progress,40,40-49
I am not sure/don't know,White,High School or Less,60,60+
Someone else,White,High School or Less,19,18-29
Donald Trump,White,High School or Less,36,30-39
Joe Biden,Some other race,College Degree or In Progress,39,30-39
Donald Trump,White,Trade Certificate,57,50-59
I would not vote,White,High School or Less,44,40-49
Joe Biden,White,College Degree or In Progress,49,40-49
Someone else,"Black, or African American",College Degree or In Progress,47,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,47,40-49
I am not sure/don't know,White,High School or Less,37,30-39
Donald Trump,White,College Degree or In Progress,56,50-59
Donald Trump,Some other race,College Degree or In Progress,51,50-59
Joe Biden,White,College Degree or In Progress,39,30-39
Donald Trump,White,Masters/Doctorate Degree or In Progress,40,40-49
Someone else,White,College Degree or In Progress,43,40-49
Someone else,White,Masters/Doctorate Degree or In Progress,73,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,40,40-49
Donald Trump,Some other race,College Degree or In Progress,31,30-39
Joe Biden,"Black, or African American",High School or Less,69,60+
Joe Biden,White,College Degree or In Progress,67,60+
I would not vote,"Black, or African American",High School or Less,22,18-29
Someone else,"Black, or African American",High School or Less,72,60+
Donald Trump,White,College Degree or In Progress,63,60+
Joe Biden,White,College Degree or In Progress,73,60+
I am not sure/don't know,White,College Degree or In Progress,70,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,59,50-59
Joe Biden,"Black, or African American",Masters/Doctorate Degree or In Progress,48,40-49
I am not sure/don't know,White,College Degree or In Progress,29,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,42,40-49
Donald Trump,White,College Degree or In Progress,50,50-59
Donald Trump,White,College Degree or In Progress,53,50-59
I am not sure/don't know,White,College Degree or In Progress,29,18-29
Joe Biden,Some other race,College Degree or In Progress,30,30-39
I would not vote,White,High School or Less,20,18-29
Joe Biden,White,High School or Less,36,30-39
Donald Trump,White,High School or Less,58,50-59
Joe Biden,"Black, or African American",Trade Certificate,37,30-39
Joe Biden,Some other race,Associate Degree or In Progress,25,18-29
Joe Biden,White,College Degree or In Progress,64,60+
Joe Biden,White,College Degree or In Progress,67,60+
Donald Trump,White,College Degree or In Progress,47,40-49
I am not sure/don't know,White,Associate Degree or In Progress,51,50-59
Joe Biden,White,Masters/Doctorate Degree or In Progress,37,30-39
I would not vote,White,High School or Less,39,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,40,40-49
Joe Biden,White,Masters/Doctorate Degree or In Progress,37,30-39
Donald Trump,White,High School or Less,74,60+
I would not vote,White,High School or Less,62,60+
Donald Trump,White,College Degree or In Progress,46,40-49
Donald Trump,White,College Degree or In Progress,41,40-49
Joe Biden,White,College Degree or In Progress,58,50-59
I am not sure/don't know,White,Masters/Doctorate Degree or In Progress,61,60+
Joe Biden,White,High School or Less,19,18-29
I would not vote,White,Masters/Doctorate Degree or In Progress,39,30-39
I would not vote,White,High School or Less,37,30-39
Donald Trump,White,High School or Less,33,30-39
Joe Biden,"Black, or African American",College Degree or In Progress,69,60+
Donald Trump,Asian,Associate Degree or In Progress,72,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,38,30-39
Joe Biden,White,High School or Less,18,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,38,30-39
Joe Biden,White,Associate Degree or In Progress,42,40-49
Donald Trump,Some other race,High School or Less,66,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,41,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,42,40-49
Donald Trump,White,High School or Less,60,60+
Joe Biden,White,College Degree or In Progress,57,50-59
I am not sure/don't know,White,College Degree or In Progress,76,60+
Joe Biden,Some other race,High School or Less,19,18-29
Joe Biden,"Black, or African American",College Degree or In Progress,27,18-29
Joe Biden,Some other race,College Degree or In Progress,57,50-59
Donald Trump,White,College Degree or In Progress,37,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,38,30-39
Donald Trump,White,Masters/Doctorate Degree or In Progress,42,40-49
Joe Biden,White,College Degree or In Progress,77,60+
Joe Biden,White,College Degree or In Progress,65,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,40,40-49
Donald Trump,White,College Degree or In Progress,78,60+
Joe Biden,White,College Degree or In Progress,39,30-39
Donald Trump,White,Masters/Doctorate Degree or In Progress,53,50-59
Joe Biden,White,College Degree or In Progress,47,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,39,30-39
Donald Trump,White,High School or Less,30,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,43,40-49
Donald Trump,White,College Degree or In Progress,67,60+
Joe Biden,White,High School or Less,83,60+
Donald Trump,White,High School or Less,46,40-49
Joe Biden,White,College Degree or In Progress,30,30-39
Donald Trump,White,College Degree or In Progress,68,60+
Joe Biden,White,College Degree or In Progress,41,40-49
I am not sure/don't know,White,College Degree or In Progress,55,50-59
Donald Trump,White,Associate Degree or In Progress,68,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,68,60+
Joe Biden,"Black, or African American",High School or Less,19,18-29
Joe Biden,White,College Degree or In Progress,64,60+
Joe Biden,"Black, or African American",High School or Less,56,50-59
Donald Trump,Some other race,Masters/Doctorate Degree or In Progress,51,50-59
Joe Biden,White,Associate Degree or In Progress,29,18-29
I am not sure/don't know,White,College Degree or In Progress,33,30-39
Donald Trump,White,High School or Less,30,30-39
Donald Trump,White,High School or Less,60,60+
Joe Biden,Some other race,College Degree or In Progress,30,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,42,40-49
Donald Trump,White,College Degree or In Progress,46,40-49
Donald Trump,White,College Degree or In Progress,57,50-59
I would not vote,Some other race,Associate Degree or In Progress,30,30-39
I am not sure/don't know,"Black, or African American",Associate Degree or In Progress,64,60+
Joe Biden,White,College Degree or In Progress,46,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,39,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,31,30-39
Joe Biden,"Black, or African American",College Degree or In Progress,28,18-29
I would not vote,White,High School or Less,60,60+
Donald Trump,White,High School or Less,79,60+
Donald Trump,White,College Degree or In Progress,57,50-59
Donald Trump,White,College Degree or In Progress,36,30-39
I am not sure/don't know,White,High School or Less,64,60+
Joe Biden,White,College Degree or In Progress,68,60+
Joe Biden,"Black, or African American",Associate Degree or In Progress,57,50-59
Joe Biden,"Black, or African American",High School or Less,25,18-29
I am not sure/don't know,White,High School or Less,46,40-49
Donald Trump,White,College Degree or In Progress,51,50-59
Joe Biden,"Black, or African American",Associate Degree or In Progress,58,50-59
Donald Trump,White,College Degree or In Progress,63,60+
Joe Biden,"Black, or African American",College Degree or In Progress,24,18-29
Someone else,White,Masters/Doctorate Degree or In Progress,67,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,43,40-49
Joe Biden,Asian,College Degree or In Progress,59,50-59
Joe Biden,White,Masters/Doctorate Degree or In Progress,73,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,54,50-59
Joe Biden,White,College Degree or In Progress,60,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,42,40-49
Joe Biden,White,Associate Degree or In Progress,63,60+
Joe Biden,White,College Degree or In Progress,40,40-49
Joe Biden,White,Masters/Doctorate Degree or In Progress,49,40-49
Joe Biden,"Black, or African American",High School or Less,21,18-29
Donald Trump,White,College Degree or In Progress,60,60+
Donald Trump,White,Trade Certificate,71,60+
Joe Biden,White,Trade Certificate,33,30-39
Donald Trump,White,High School or Less,58,50-59
Joe Biden,"Black, or African American",Associate Degree or In Progress,55,50-59
Joe Biden,White,High School or Less,59,50-59
Donald Trump,White,College Degree or In Progress,83,60+
Joe Biden,"Black, or African American",College Degree or In Progress,64,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,48,40-49
Joe Biden,White,College Degree or In Progress,45,40-49
Donald Trump,White,College Degree or In Progress,56,50-59
I am not sure/don't know,Some other race,High School or Less,23,18-29
Donald Trump,White,College Degree or In Progress,68,60+
Donald Trump,White,College Degree or In Progress,37,30-39
I am not sure/don't know,White,College Degree or In Progress,40,40-49
Joe Biden,White,Masters/Doctorate Degree or In Progress,35,30-39
Joe Biden,"Black, or African American",Associate Degree or In Progress,66,60+
I am not sure/don't know,White,College Degree or In Progress,45,40-49
Joe Biden,Some other race,High School or Less,45,40-49
Donald Trump,White,Trade Certificate,61,60+
Joe Biden,White,College Degree or In Progress,72,60+
Donald Trump,White,Associate Degree or In Progress,67,60+
Donald Trump,White,College Degree or In Progress,55,50-59
Donald Trump,White,College Degree or In Progress,20,18-29
Donald Trump,White,Associate Degree or In Progress,46,40-49
Joe Biden,White,Associate Degree or In Progress,64,60+
Donald Trump,White,College Degree or In Progress,38,30-39
Donald Trump,Asian,College Degree or In Progress,68,60+
Joe Biden,White,College Degree or In Progress,64,60+
Joe Biden,White,High School or Less,37,30-39
Donald Trump,White,College Degree or In Progress,59,50-59
I would not vote,White,High School or Less,52,50-59
Joe Biden,White,Masters/Doctorate Degree or In Progress,63,60+
Joe Biden,White,College Degree or In Progress,59,50-59
Joe Biden,White,Associate Degree or In Progress,77,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,59,50-59
Joe Biden,White,College Degree or In Progress,50,50-59
