vote_2020,race_ethnicity,education,age,age_grouped
Joe Biden,"Black, or African American",High School or Less,26,18-29
Joe Biden,Asian,College Degree or In Progress,45,40-49
Donald Trump,White,Associate Degree or In Progress,57,50-59
Donald Trump,White,College Degree or In Progress,55,50-59
Joe Biden,White,College Degree or In Progress,70,60+
Joe Biden,White,College Degree or In Progress,55,50-59
Joe Biden,Asian,College Degree or In Progress,46,40-49
Donald Trump,White,College Degree or In Progress,32,30-39
Donald Trump,White,College Degree or In Progress,66,60+
Donald Trump,White,College Degree or In Progress,35,30-39
Donald Trump,White,Associate Degree or In Progress,71,60+
I am not sure/don't know,White,College Degree or In Progress,34,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,37,30-39
Joe Biden,White,College Degree or In Progress,27,18-29
Donald Trump,White,Masters/Doctorate Degree or In Progress,61,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,47,40-49
Joe Biden,"Black, or African American",Masters/Doctorate Degree or In Progress,69,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,45,40-49
Donald Trump,White,College Degree or In Progress,26,18-29
Donald Trump,White,College Degree or In Progress,53,50-59
I would not vote,"Black, or African American",High School or Less,20,18-29
Joe Biden,White,Associate Degree or In Progress,65,60+
Donald Trump,White,College Degree or In Progress,50,50-59
Joe Biden,White,College Degree or In Progress,67,60+
I am not sure/don't know,White,Associate Degree or In Progress,68,60+
Joe Biden,Asian,Masters/Doctorate Degree or In Progress,55,50-59
Joe Biden,White,College Degree or In Progress,48,40-49
I would not vote,White,High School or Less,18,18-29
Joe Biden,Asian,Associate Degree or In Progress,68,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,57,50-59
Joe Biden,White,Masters/Doctorate Degree or In Progress,32,30-39
Joe Biden,Asian,College Degree or In Progress,60,60+
Joe Biden,White,College Degree or In Progress,65,60+
Joe Biden,"Black, or African American",Associate Degree or In Progress,67,60+
Donald Trump,White,Trade Certificate,52,50-59
Donald Trump,White,Associate Degree or In Progress,73,60+
Someone else,White,Masters/Doctorate Degree or In Progress,79,60+
Donald Trump,White,Masters/Doctorate Degree or In Progress,81,60+
Joe Biden,White,College Degree or In Progress,66,60+
I would not vote,White,Associate Degree or In Progress,55,50-59
